Institution,Handle,Type,associatedHandles,Notes
The Nature Conservancy,nature_org,Non-profit,NatureAg; nature_brains,
Soil Health Institute,soil_institute,Research,,
Soil Health Partnership,SoilPartners,Non-profit,,
USDA,USDA,Government,,
USDA-NRCS,USDA_NRCS,Government,,Will have state organizations
USDA-ARS,USDA_ARS,Government,,
National Corn Growers Association,NationalCorn,Trade organization,,Will have state organizations
McDonald's,McDonalds,Corporate,McDonaldsCorp,
Walmart,Walmart,Corporate,WalmartWorld; WalmartGiving; WalmartAction; WalmartNewsroom,
General Mills,GeneralMills,Corporate,gmills_jerry,
Land O'Lakes,LandOLakesInc,Corporate,SUSTAIN_ag,
Syngenta,Syngenta,Corporate,,
DowDuPont,DowDuPontCo,Corporate,,
Danone,Danone,Corporate,,
ISRIC,ISRICorg,Non-profit,,
CIAT,CIAT_,Non-profit,,
ICRAF,ICRAF,Non-profit,,
Crop Nutrition Ltd,Cropnuts,Laboratory,,
One Acre Fund,OneAcreFund,Non-profit,,
American Farmland Trust,Farmland,Non-profit,,
Environmental Defense Fund,EnvDefenseFund,Non-profit,GrowingReturns,
USDA-NIFA,USDA_NIFA,Government,,
Kellogg Company,KelloggsUS,Corporate,KelloggCompany,
The Fertilizer Institute,Fertilizer_Inst,Trade organization,4Rnutrients; ResponsibleAg,
Midwest Row Crop Collaborative,MidwestRowCrop,Non-profit,,
Cargill,Cargill,Corporate,foodsecureworld,
"Tri-Societies (ASA, SSSA, and CSSA)",ASA_CSSA_SSSA,Research,SSSA_soils,
Noble Research Institute,nobleresinst,Research,,
Field to Market,FieldToMarket,Non-profit,,
National Association of Wheat Growers,wheatworld,Trade organization,,Will have state organizations
Agree,AGreeAgPolicy,Non-profit,,
Wrangler,Wrangler,Corporate,,
Trust in Food,TrustInFoodFJ,Media,,
Farm Journal,FarmJournal,Media,,
Syngenta Foundation for Sustainable Agriculture,syngentafdn,Foundation,,
Foundation for Food and Agriculture Research,FoundationFAR,Foundation,,
"Ward Laboratories, Inc",WardLabs,Laboratory,,
KSU Sustainable Intensification Lab,SIIL_KSU,Research,,
California Department of Food and Agriculture,CDFAnews,Government,,
Point Blue Conservation Science,PointBlueConSci,Non-profit,,
4RPlus,4RPlus,Non-profit,,
Unilever,Unilever,Corporate,unileverusa; UnileverFoundry,
Conservation Technology Information Center,ctic_tweet,Non-profit,,
National Association of Conservation Districts,NACDconserve,Non-profit,,
Farmers National Co,FarmersNational,Corporate,,