"","screen_name","is_science","is_farmer","is_political","is_business","is_media","is_training","is_nonprofit","is_food","is_medical","is_internationalagency","is_nature","is_other"
"203","SoilAssociation",NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"204","regeneration_in",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"205","DefendingBeef",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"206","SoilsAlliance",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"207","CoverCropCoach",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"208","SoilHealthWA",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"209","MineralDoc",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"210","chrisleefish",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"211","agricology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","soilhealth1",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"213","NDSUsoilhealth",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"214","farmerdoug93",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","SoilPartners",1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"216","nobleresinst",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"217","RegenAGuk",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"218","LSPnow",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"219","rebuildsoil",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"220","BEHumic",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"221","RECARE_EU",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","JamieRidgely",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"223","nickykylegarden",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"224","SoilsforLife",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"225","SolvitaCarbon",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"226","NestleUSA",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"227","suesustainable",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"228","kissthegroundCA",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"229","AHDB_Hort",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"230","FarmlandNY",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"231","agbiotech",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"232","niels_corfield",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"233","humusphysicus",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"234","FarmingFutures",NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"235","AGRICENLIFER",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","NRCS_Illinois",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"237","HighPlainsJrnl",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"238","SoilCare_eu",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"239","BionutrientFood",NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"240","4Rnutrients",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"241","RickBieber81",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","wildercarolineG",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"243","ContinuumAgLLC",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"244","CCSI_IN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","NRCS_Ohio",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"246","AgweekMagazine",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"247","NRCS_SD",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"248","will_brinton",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"249","GreenCoverSeed",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"250","sustainableag",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"251","CristinaGardens",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"252","NRCS_MT",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"253","SCRCA_water",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"254","FertilizerNews",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"255","GrowingReturns",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"256","soil_institute",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"257","CARAresearch",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"258","SaskOrganics",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"259","IAwateralliance",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"260","EATegrity_Sonia",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA
"261","EWestaway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"262","NebraskaNRCS",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"263","SmallFarmz",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","brownfield",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"265","JodiKoberinski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"266","JodiKoberinski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"267","sfamn",NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"268","IowaAgWater",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","CanadianOrganic",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"270","ntsaustralia",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"271","OMAFRAEnviro",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","csdigest",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"273","GallagherNA",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"274","DavidsonDocD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"275","notrunningfast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"276","KoenvanSeijen",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"277","DynamiteAg",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"278","SSF_BERF_DEFM",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"279","NRCS_PIA",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"280","machinefinder",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"281","MiracoWaterers",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"282","SoilScienceNews",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"283","RTAHealth",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"284","NRCS_Idaho",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"285","ncsoilwater",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"286","NRCS_Oregon",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"287","TheAusFarmer",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"288","cowgirljesse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"289","on_agfax",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"290","soilwarrior",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"291","srsnater",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"292","SCD_DE",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"293","hminternational",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"294","NutritionGarden",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"295","qlfuk",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"296","ecogreenlawn",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"297","DDKisanChannel",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"298","AGreeAgPolicy",NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA
"299","DenovoFarms",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","OutdoorsMc",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","Jeypeefarm",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","ATTRASustainAg",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"303","AgriviCorp",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"304","NCAT_ORG",NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"305","ntshealth",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"306","VermontNRCS",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"307","kcsivabalan",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","BlackwoodsGroup",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","healthfoodnews1",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"310","midwestgrain",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"311","NTPlanet",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"312","environmentguru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"313","vandyemataram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"314","MidKentTraining",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"315","OccuWorld",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"316","_MrDavidJones",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"317","neewsbot",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"318","NVPeople",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"319","Market_Screener",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"320","SilberWorldNews",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"321","TheDailyDigest",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"322","sirajs0l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"323","Pairsonnalites",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"324","3novices",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"325","environmentguru",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"326","Michael_Vasanth",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"327","sharebossindia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"328","NTKRNow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"329","LennaLeprena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"330","ranaalikash",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"331","_Reality_Check_",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"332","jbkavungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"333","animesh1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"334","ZyiteGadgets",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"335","skinnergj",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"336","HumanityNews",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"337","CNBCTV18Live",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"338","LifeTechnology1",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"339","NiliMajumder",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"340","JoeFreedomLove",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"341","Asamoh_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"342","HoneymoonGondol",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"343","56perumal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"344","ChantellDawnSny",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"345","WorldCompanies",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"346","davidjones720",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347","business_supser",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"348","FarmFairyCrafts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"349","ideas4thefuture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"350","LoveOrganicxxx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"351","dhruvbhim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"352","_ngoo",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"353","Life_Sciences_",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","itsforhome",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"355","aldoceccarelli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"356","RazzleTazzleMag",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"357","AjayPandey__",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"358","18dMedia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"359","chatapon2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"360","the__himanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"361","RayBeckerman",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"362","INETHONDURAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"363","financialbuzz",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"364","upma23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365","Marketsview",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366","EcoInternetDrGB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"367","Apocrifos",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"368","IndiaToday",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"369","TheCloudNetwork",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370","ndtv",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"371","NewsFromSPI",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"372","EurekaMag",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"373","pops131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"374","wizardQi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"375","LiveEdges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"376","htTweets",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"377","jilevin",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"378","kotaknaren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"379","TOICitiesNews",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"380","IndianExpress",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"381","guzmanadrian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"382","EnjeuxEnergies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"383","Max1023FM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"384","bluebirdtrini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"385","rvp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","NewIndianXpress",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"387","disruptivesigna",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"388","dna",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"389","ModiBJPBhakt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"390","guardian",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"391","liquidskydesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"392","JuneStoyer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"393","Primal_Digest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"394","Mthigo_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"395","LindaCollins11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"396","hindustanse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"397","manojsirsa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"398","Stupidosaur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"399","Camz99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"400","shankargallery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"401","timesofindia",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"402","Mayankforbjp",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
