user_id,ID,type,scale,indiv-org,role,affiliation,centrality,
DefendingBeef,958,author,USA,indiv,advocacy,NA,237791,
nickykylegarden,929,author,Ireland,indiv,journalism; information,NA,46921,
IntegratedSoils,743,education,International,indiv,information,NA,64249,
NDSUsoilhealth,952,extension,USA,indiv,training; science; information,NA,173788,
No1FarmerJake,647,farmer,UK,indiv,farming,NA,56244,
USDA_NRCS,965,government,USA,org,training; funding,NA,71086,
FertilizerNews,913,industry,International,org,advocacy,NA,70526,
CivilEats,951,media,USA,org,journalism,NA,47926,
EWestaway,964,personal,International,indiv,information; advocacy,NA,2222356,she's a consultant
EcoInternetDrGB,942,media,International,indiv,information,NA,184287,
SoilPartners,938,non-profit,USA,org,advocacy; training; science; networking,NA,132064,
RickBieber81,581,farmer,USA,indiv,advocacy,NA,101820,
CCSI_IN,897,government,USA,org,training,NA,83503,
humusphysicus,762,author,USA,indiv,training; advocacy,NA,74906,
phosphoria31,27378,personal,USA,indiv,information,NA,74756,
sectormentor,943,small-company,International,org,profit; training,NA,74303,
KarlThidemann,108,non-profit,USA,indiv,advocacy,Soil4Climate,69263,
ContinuumAgLLC,932,small-company,USA,org,training; information,NA,68286,
NRCS_SD,815,government,USA,org,training; information,NA,67048,
CristinaGardens,763,author,Canada,indiv,training; advocacy,NA,63873,
SolvitaCarbon,622,small-company,USA,org,science; information,will_brinton,62376,
AgweekMagazine,817,media,USA,org,information,NA,59397,
OrgResCent,358,non-profit,UK,org,information; advocacy; funding; science,NA,58857,
niels_corfield,838,non-profit,UK,indiv,information; advocacy,NA,58308,
kaskadia,848,personal,USA,indiv,information; advocacy,NA,56625,
MLBinWA,422,personal,USA,indiv,information; advocacy,NA,55733,
Soil_Centric,144,education,USA,org,information,NA,54480,
KevinElmy,171,small-company,Canada,indiv,sales,secan; dedellseeds,49293,
RuthMcMScott,241,personal,UK,indiv,NA,NA,49054,
CalfAtFootDairy,503,farmer,UK,org,farming,NA,48868,
RoianAtwood,739,large-company,International,indiv,sales; advocacy,Wrangler; LeeJeans,47324,
CotswoldSeeds,159,small-company,USA,org,sales,NA,46650,
regeneration_in,967,non-profit,International,org,advocacy,NA,105504,
agricology,941,non-profit,UK,org,information,NA,103810,
SoilsforLife,954,non-profit,Australia,org,training,NA,91743,
kissthegroundCA,916,non-profit,USA,org,advocacy; training,NA,75909,
rebuildsoil,632,non-profit,USA,org,advocacy,CFSTrueFood,71703,
SoilsAlliance,934,non-profit,UK,org,advocacy,NA,70918,
SoilAssociation,953,non-profit,UK,org,certification; advocacy,NA,59121,
OrganicConsumer,961,non-profit,USA,org,advocacy; information,regeneration_in,57336,
soil_institute,894,non-profit,USA,org,science,NA,55546,
FarmC02Toolkit,472,non-profit,UK,org,training; information,NA,50610,
SusFoodTrust,883,non-profit,UK,org,advocacy,NA,48127,
RegenAGuk,391,non-profit,UK,org,information,NA,47915,
Taimur_T_Malik,774,personal,International,indiv,advocacy,NA,73144,
ethical_butcher,936,personal,NA,indiv,NA,NA,50122,
Groundswellaguk,711,producer-organization,UK,org,information; advocacy,NA,52779,
AdvancingEcoAg,863,small-company,USA,org,profit; training; advocacy,VisionBuilder7,72584,